POSITION,PROMOTION,ASSIGNMENTs,SALARY,SENIORITY_YEARS,GENDER,ABSENCES,TURNOVER
operations,0,3,low,5.0,0,180.8660696668475,no
operations,0,3,medium,6.0,0,182.7081489616225,no
support,0,3,medium,6.0,0,184.4160840365652,no
logistics,0,4,high,8.0,0,188.7075447757313,no
sales,0,3,high,5.0,1,179.82108327312108,no
IT,0,2,medium,5.0,1,178.8418791506508,no
admin,0,4,high,5.0,0,181.14295615536423,no
support,0,4,medium,7.0,1,184.97753752486025,no
sales,0,4,low,6.0,0,183.6557898051497,no
sales,0,3,medium,6.0,0,181.8509998905145,no
support,0,4,medium,5.0,0,178.92719417309084,no
engineering,0,3,medium,5.0,1,180.77952738075683,no
marketing,0,3,low,6.0,0,183.66668563156088,no
operations,0,3,medium,5.0,0,181.30567680708663,no
sales,0,3,medium,6.0,0,181.75658430618995,no
finance,0,3,medium,6.0,0,184.0290110658382,no
IT,0,4,low,6.0,0,183.42378733872823,no
admin,0,4,low,5.0,0,180.44372431964084,no
engineering,0,3,medium,6.0,0,182.54884545902505,no
operations,0,3,medium,6.0,1,184.1247600031577,no
sales,0,2,medium,7.0,0,185.82707830673883,no
operations,0,2,medium,6.0,0,181.8434836773905,no
operations,0,4,medium,6.0,0,183.60394450075805,no
engineering,0,3,medium,4.0,0,178.01162167939643,no
retail,0,4,medium,5.0,1,180.48625334826312,no
sales,0,3,medium,5.0,0,180.7456084935124,no
operations,0,3,medium,4.0,1,178.0905437973021,no
retail,0,4,medium,4.0,1,176.15167483755084,no
retail,0,4,medium,5.0,0,180.88907378996475,no
retail,0,3,medium,6.0,0,181.7241903305195,no
marketing,0,3,medium,5.0,0,180.02873378813334,no
sales,0,4,medium,5.0,0,179.06470050863825,no
engineering,0,4,medium,7.0,0,185.16669728483043,no
operations,0,3,medium,6.0,0,181.77372691498223,no
sales,0,4,medium,6.0,0,182.2799715261798,no
logistics,0,4,medium,6.0,0,183.0227822186544,no
marketing,0,3,medium,6.0,0,183.69801434407108,no
support,0,4,medium,7.0,0,186.2136891796732,no
IT,0,4,medium,7.0,0,186.51716086196285,no
operations,0,3,medium,6.0,1,181.7507922797081,no
retail,0,3,medium,4.0,0,176.31290824336003,no
sales,0,3,medium,4.0,0,176.45809696568878,no
engineering,0,2,medium,6.0,1,181.8668819687106,no
retail,0,3,medium,6.0,1,181.9661193475523,no
engineering,0,3,medium,6.0,0,181.82911679737643,no
engineering,0,2,medium,6.0,0,183.43125430468376,no
engineering,0,4,medium,6.0,0,182.9686036721307,no
sales,0,4,low,5.0,0,179.9664208582378,no
sales,0,4,high,6.0,0,183.72673732081168,no
support,0,3,medium,6.0,0,181.5911647841929,no
support,0,3,medium,6.0,0,183.13264461009223,no
sales,0,3,medium,5.0,0,180.46072352426287,no
marketing,0,4,medium,7.0,1,185.64984554650312,no
engineering,0,4,medium,6.0,0,182.78001991357297,no
sales,0,3,medium,4.0,0,177.791425900699,no
marketing,0,4,medium,5.0,0,180.6106774864176,no
logistics,0,3,medium,5.0,0,181.1262849563456,no
marketing,0,3,medium,5.0,0,178.93291134697537,no
IT,0,2,medium,5.0,1,180.50328936818696,no
engineering,0,3,medium,6.0,0,183.1411050969908,no
IT,0,3,medium,7.0,1,185.4414056347504,no
support,0,4,medium,7.0,0,184.99202383034304,no
sales,0,2,medium,4.0,0,176.73770636291744,no
retail,0,3,medium,6.0,0,183.9767524984732,no
retail,0,3,medium,6.0,0,181.5170811494228,no
marketing,0,4,high,6.0,0,183.52965709323635,no
support,0,4,medium,5.0,0,180.37047935189275,no
sales,0,3,medium,6.0,1,183.8850950553137,no
retail,0,4,low,7.0,0,185.44514507094704,no
sales,0,3,high,5.0,0,179.8174735306528,no
finance,0,3,medium,5.0,0,180.53471542946565,no
sales,0,4,high,7.0,0,187.21500076281524,no
retail,0,4,medium,6.0,0,182.30212303767345,no
retail,0,2,medium,6.0,0,181.83156325669623,no
retail,0,3,medium,6.0,0,182.49649801732488,no
engineering,0,3,high,5.0,0,178.80365543576244,no
engineering,0,3,medium,6.0,0,184.1690108916659,no
operations,0,4,medium,6.0,0,183.22061167530987,no
retail,0,3,medium,8.0,1,189.2176507140535,no
sales,0,3,low,6.0,0,183.4254118801074,no
operations,0,3,low,5.0,0,179.32513637058852,no
retail,0,4,medium,6.0,0,182.6098298464224,no
engineering,0,4,medium,5.0,0,179.82901972290816,no
operations,0,3,high,5.0,0,180.6956606520498,no
engineering,0,2,medium,5.0,0,179.28507047556957,no
operations,0,3,medium,4.0,0,178.43067761797244,no
engineering,0,3,medium,5.0,0,181.2758715576236,no
admin,0,3,medium,5.0,0,181.04100831888536,no
support,0,3,medium,5.0,0,179.1327503941674,no
retail,0,3,medium,5.0,0,181.0763202763193,no
finance,0,4,medium,5.0,1,180.02418204756432,no
sales,0,3,low,5.0,0,180.45038578909865,no
admin,0,3,medium,4.0,0,177.62097859878202,no
retail,0,3,high,7.0,0,186.2045973853056,no
support,0,3,low,5.0,1,178.8273449844057,no
support,0,3,medium,6.0,0,183.0628978182084,no
engineering,0,3,medium,5.0,0,180.7245365167548,no
retail,0,4,medium,5.0,1,180.4113408327516,no
engineering,0,3,medium,6.0,0,184.1505673219393,no
engineering,0,3,high,6.0,0,181.9732257121603,no
support,0,4,medium,5.0,1,178.94674190242972,no
engineering,0,3,high,4.0,0,177.68684739756125,no
retail,0,3,high,5.0,1,179.72362274618592,no
engineering,0,4,medium,6.0,0,182.2686022665204,no
operations,0,4,medium,7.0,0,185.1064446937823,no
retail,0,3,medium,6.0,0,183.88081288205325,no
engineering,0,4,medium,6.0,0,184.0884808609054,no
engineering,0,3,medium,6.0,0,184.2212962886908,no
sales,0,3,high,6.0,0,183.9105062565933,no
logistics,0,4,medium,5.0,0,180.9269150261657,no
retail,0,4,medium,5.0,0,178.56275578179566,no
finance,0,3,medium,6.0,0,181.91697592647552,no
sales,0,3,high,4.0,0,178.420582994782,no
marketing,0,4,medium,6.0,0,184.2564644179621,no
operations,0,4,medium,4.0,1,175.68014865514246,no
retail,0,4,medium,5.0,0,181.0850493563929,no
engineering,0,2,medium,5.0,1,179.87336413300983,no
sales,0,3,medium,5.0,0,180.70452662270256,no
support,0,3,medium,6.0,0,183.05838331087395,no
operations,0,4,low,6.0,0,183.02899811782524,no
