POSITION,PROMOTION,ASSIGNMENTs,SALARY,SENIORITY_YEARS,GENDER,ABSENCES,TURNOVER
support,0,3,medium,8.0,0,188.87867492221977,no
operations,0,4,medium,8.0,0,189.4687552150188,no
retail,0,4,medium,6.0,0,182.6098298464224,no
operations,0,3,medium,7.0,1,185.076854967915,no
admin,0,3,low,8.0,0,189.24441430698545,yes
retail,0,3,medium,10.0,0,195.4949294892708,no
operations,0,4,medium,6.0,0,182.32822133251747,no
support,0,3,medium,5.0,1,180.67196528644257,no
sales,0,3,medium,8.0,1,188.19000296470824,no
engineering,0,3,high,5.0,0,179.9716740627344,no
retail,0,3,medium,8.0,1,188.9196028639344,yes
retail,0,3,low,8.0,0,188.3941783632452,yes
sales,0,3,medium,5.0,0,179.39142819976382,no
sales,0,4,high,6.0,0,181.7312246552168,yes
admin,0,2,medium,6.0,0,183.3160123670205,no
engineering,0,3,high,6.0,0,181.67769801420323,yes
operations,0,3,medium,6.0,1,181.90609199557449,no
engineering,0,4,high,8.0,1,188.2772571140349,no
retail,0,3,medium,6.0,1,183.7581199416507,no
retail,0,3,high,6.0,0,183.8701067548645,no
IT,0,3,medium,7.0,0,187.36410922431327,yes
operations,0,3,medium,6.0,1,182.6439357379229,no
logistics,0,3,medium,6.0,0,183.9316740212045,yes
retail,1,3,medium,5.0,0,178.8404756840261,yes
retail,0,4,medium,6.0,1,182.5715016224236,yes
operations,0,3,medium,6.0,1,184.3839850653427,no
sales,0,3,medium,8.0,0,187.5036205789583,no
operations,1,4,high,8.0,0,188.4909838719556,no
operations,0,3,medium,7.0,0,187.2241209236647,yes
finance,0,4,low,6.0,1,184.4092158623983,no
engineering,0,3,low,6.0,0,184.4598089942494,no
marketing,0,3,medium,6.0,0,182.9483680491093,no
retail,0,3,medium,5.0,0,181.3032289370352,yes
sales,0,4,high,7.0,0,186.42649483446243,no
retail,0,3,high,7.0,0,186.6928777475522,yes
IT,0,3,medium,7.0,0,185.21563495655167,no
retail,0,4,medium,4.0,1,176.772460142087,no
operations,1,3,medium,5.0,0,179.8251551805125,no
operations,0,3,medium,7.0,0,186.2380940044423,yes
retail,0,3,medium,5.0,0,179.4530963106626,yes
IT,0,3,medium,8.0,1,189.0025102358917,no
operations,0,3,medium,5.0,0,179.69375083230256,no
marketing,0,3,medium,8.0,1,188.81290894858145,no
engineering,0,3,low,8.0,0,190.3560162487732,no
sales,0,3,medium,5.0,0,180.22848854708045,yes
support,0,4,medium,10.0,0,193.60444026448585,no
support,0,3,medium,6.0,0,182.8135886388609,no
