iter	Passed	Remaining
0	3	3527
1	6	3094
2	9	3033
3	12	3015
4	15	2998
5	18	2996
6	20	2975
7	23	2962
8	26	2955
9	29	2945
10	32	2939
11	35	2939
12	38	2944
13	41	2949
14	45	2959
15	48	2957
16	50	2948
17	54	2951
18	57	2952
19	60	2950
20	63	2948
21	66	2946
22	69	2945
23	72	2943
24	75	2938
25	78	2937
26	81	2940
27	84	2938
28	87	2937
29	90	2939
30	93	2933
31	96	2934
32	100	2930
33	103	2929
34	106	2929
35	109	2922
36	112	2915
37	114	2898
38	117	2896
39	120	2897
40	123	2892
41	126	2889
42	129	2888
43	132	2887
44	136	2895
45	139	2897
46	142	2897
47	146	2898
48	148	2884
49	151	2884
50	154	2882
51	158	2881
52	161	2881
53	164	2885
54	167	2883
55	170	2882
56	174	2881
57	175	2858
58	178	2854
59	182	2852
60	185	2848
61	187	2832
62	190	2830
63	193	2830
64	196	2830
65	199	2828
66	203	2827
67	206	2824
68	209	2820
69	212	2818
70	215	2817
71	218	2813
72	221	2812
73	224	2811
74	228	2812
75	230	2808
76	234	2806
77	237	2806
78	240	2806
79	243	2804
80	246	2802
81	250	2800
82	253	2797
83	256	2798
84	260	2800
85	263	2799
86	266	2791
87	269	2789
88	272	2788
89	274	2771
90	276	2762
91	279	2760
92	282	2758
93	285	2755
94	289	2753
95	291	2747
96	294	2745
97	298	2743
98	301	2741
99	304	2739
100	306	2730
101	309	2728
102	313	2727
103	316	2725
104	319	2722
105	322	2720
106	325	2719
107	328	2715
108	331	2713
109	334	2709
110	337	2706
111	340	2702
112	343	2698
113	346	2689
114	349	2688
115	351	2682
116	355	2679
117	358	2676
118	360	2672
119	364	2669
120	366	2665
121	369	2661
122	373	2660
123	376	2656
124	379	2653
125	382	2650
126	384	2645
127	387	2642
128	391	2640
129	394	2637
130	397	2634
131	400	2631
132	403	2628
133	405	2621
134	408	2617
135	411	2614
136	414	2610
137	417	2607
138	420	2605
139	423	2602
140	426	2599
141	430	2598
142	433	2597
143	436	2595
144	439	2593
145	443	2591
146	446	2589
147	449	2589
148	452	2585
149	455	2583
150	458	2579
151	461	2576
152	464	2573
153	468	2571
154	470	2567
155	473	2564
156	476	2561
157	480	2559
158	483	2555
159	485	2551
160	488	2547
161	491	2543
162	494	2540
163	497	2537
164	500	2532
165	503	2528
166	506	2525
167	509	2522
168	512	2519
169	515	2515
170	518	2511
171	521	2508
172	524	2505
173	526	2500
174	529	2497
175	532	2495
176	535	2492
177	538	2488
178	542	2486
179	545	2482
180	548	2480
181	551	2477
182	554	2474
183	556	2468
184	559	2465
185	562	2462
186	565	2460
187	568	2457
188	572	2454
189	575	2451
190	578	2448
191	581	2445
192	584	2443
193	587	2440
194	590	2437
195	593	2435
196	596	2432
197	599	2429
198	602	2426
199	605	2423
200	608	2419
201	611	2417
202	614	2413
203	617	2411
204	620	2408
205	623	2405
206	627	2402
207	629	2397
208	632	2394
209	635	2391
210	638	2388
211	641	2385
212	645	2383
213	647	2378
214	650	2375
215	652	2369
216	655	2366
217	658	2363
218	661	2360
219	664	2356
220	667	2353
221	670	2350
222	672	2343
223	675	2340
224	678	2337
225	681	2334
226	684	2331
227	687	2328
228	690	2325
229	693	2322
230	696	2319
231	699	2316
232	702	2313
233	705	2310
234	708	2305
235	711	2302
236	714	2299
237	717	2297
238	720	2293
239	723	2291
240	726	2288
241	729	2286
242	733	2283
243	736	2280
244	739	2277
245	742	2274
246	745	2272
247	747	2265
248	750	2262
249	753	2259
250	756	2256
251	759	2252
252	761	2249
253	765	2246
254	767	2243
255	771	2240
256	774	2237
257	777	2234
258	780	2231
259	783	2228
260	786	2225
261	789	2222
262	792	2219
263	795	2216
264	798	2213
265	801	2210
266	804	2207
267	807	2204
268	810	2201
269	813	2198
270	816	2195
271	819	2192
272	822	2189
273	825	2186
274	828	2184
275	832	2182
276	835	2179
277	838	2176
278	841	2173
279	844	2170
280	847	2167
281	850	2164
282	853	2161
283	855	2157
284	859	2155
285	862	2152
286	864	2148
287	867	2145
288	870	2142
289	873	2139
290	876	2136
291	879	2133
292	882	2130
293	885	2127
294	888	2124
295	891	2121
296	894	2117
297	896	2112
298	899	2109
299	902	2106
300	905	2103
301	908	2100
302	911	2097
303	914	2094
304	917	2091
305	920	2088
306	923	2085
307	926	2082
308	929	2079
309	932	2076
310	936	2073
311	938	2070
312	940	2065
313	944	2062
314	947	2059
315	949	2056
316	952	2053
317	956	2050
318	958	2047
319	961	2044
320	964	2040
321	967	2037
322	970	2035
323	973	2031
324	976	2028
325	979	2026
326	983	2023
327	985	2020
328	988	2016
329	991	2013
330	994	2010
331	997	2007
332	1000	2004
333	1003	2001
334	1006	1998
335	1010	1996
336	1013	1993
337	1016	1990
338	1019	1987
339	1022	1984
340	1025	1981
341	1028	1979
342	1031	1976
343	1035	1974
344	1038	1971
345	1041	1969
346	1044	1966
347	1048	1963
348	1051	1960
349	1054	1958
350	1057	1955
351	1059	1950
352	1062	1947
353	1065	1944
354	1068	1941
355	1071	1939
356	1075	1936
357	1078	1933
358	1081	1931
359	1084	1928
360	1087	1925
361	1091	1923
362	1094	1920
363	1097	1917
364	1100	1914
365	1104	1912
366	1108	1911
367	1112	1910
368	1116	1909
369	1119	1906
370	1124	1905
371	1128	1904
372	1132	1902
373	1136	1901
374	1140	1900
375	1144	1899
376	1149	1899
377	1153	1897
378	1157	1897
379	1162	1896
380	1166	1895
381	1170	1894
382	1175	1893
383	1179	1891
384	1182	1889
385	1187	1888
386	1190	1886
387	1193	1882
388	1197	1881
389	1201	1879
390	1205	1878
391	1209	1875
392	1212	1873
393	1216	1870
394	1220	1869
395	1224	1867
396	1228	1865
397	1231	1863
398	1235	1861
399	1239	1859
400	1243	1856
401	1246	1854
402	1250	1852
403	1254	1850
404	1258	1848
405	1261	1845
406	1265	1844
407	1270	1842
408	1273	1840
409	1276	1837
410	1280	1834
411	1283	1832
412	1287	1829
413	1290	1826
414	1293	1823
415	1297	1821
416	1300	1818
417	1304	1815
418	1307	1812
419	1310	1810
420	1314	1807
421	1318	1805
422	1322	1803
423	1325	1800
424	1328	1797
425	1332	1795
426	1335	1792
427	1339	1789
428	1342	1786
429	1345	1784
430	1349	1781
431	1352	1778
432	1355	1775
433	1359	1772
434	1362	1770
435	1366	1768
436	1370	1765
437	1373	1762
438	1376	1759
439	1380	1756
440	1383	1753
441	1387	1751
442	1390	1747
443	1393	1745
444	1397	1742
445	1401	1740
446	1404	1737
447	1408	1734
448	1412	1732
449	1415	1729
450	1418	1726
451	1421	1723
452	1425	1721
453	1428	1718
454	1431	1715
455	1435	1712
456	1438	1709
457	1441	1706
458	1445	1703
459	1448	1700
460	1451	1696
461	1454	1693
462	1458	1691
463	1461	1688
464	1464	1685
465	1468	1682
466	1471	1679
467	1474	1676
468	1477	1673
469	1481	1670
470	1484	1667
471	1487	1663
472	1490	1660
473	1493	1657
474	1496	1654
475	1500	1651
476	1503	1648
477	1506	1644
478	1509	1641
479	1512	1638
480	1515	1635
481	1518	1632
482	1522	1629
483	1525	1626
484	1528	1622
485	1531	1619
486	1534	1616
487	1537	1613
488	1541	1610
489	1544	1607
490	1547	1604
491	1550	1600
492	1554	1598
493	1557	1595
494	1561	1592
495	1564	1589
496	1567	1586
497	1570	1583
498	1574	1580
499	1577	1577
500	1580	1573
501	1583	1570
502	1586	1567
503	1590	1564
504	1593	1561
505	1596	1558
506	1599	1555
507	1602	1552
508	1606	1549
509	1609	1546
510	1612	1543
511	1615	1540
512	1619	1537
513	1622	1534
514	1625	1531
515	1629	1528
516	1632	1525
517	1635	1522
518	1639	1519
519	1642	1515
520	1645	1512
521	1648	1509
522	1651	1506
523	1655	1503
524	1658	1500
525	1661	1497
526	1664	1494
527	1668	1491
528	1671	1487
529	1674	1484
530	1677	1481
531	1680	1478
532	1683	1475
533	1686	1472
534	1690	1468
535	1693	1465
536	1696	1462
537	1699	1459
538	1703	1456
539	1706	1453
540	1709	1450
541	1713	1447
542	1716	1444
543	1719	1441
544	1722	1438
545	1725	1434
546	1728	1431
547	1731	1428
548	1735	1425
549	1738	1422
550	1741	1418
551	1744	1415
552	1747	1412
553	1751	1409
554	1754	1406
555	1757	1403
556	1760	1400
557	1763	1396
558	1766	1393
559	1769	1390
560	1772	1387
561	1775	1384
562	1779	1380
563	1782	1377
564	1785	1374
565	1788	1371
566	1791	1367
567	1794	1364
568	1797	1361
569	1801	1358
570	1804	1355
571	1807	1352
572	1810	1349
573	1813	1346
574	1816	1342
575	1819	1339
576	1822	1336
577	1825	1333
578	1829	1330
579	1832	1326
580	1835	1323
581	1838	1320
582	1841	1317
583	1844	1314
584	1847	1310
585	1850	1307
586	1853	1304
587	1856	1300
588	1859	1297
589	1862	1294
590	1865	1291
591	1868	1288
592	1872	1284
593	1875	1281
594	1878	1278
595	1881	1275
596	1884	1271
597	1887	1268
598	1890	1265
599	1893	1262
600	1896	1259
601	1899	1255
602	1902	1252
603	1905	1249
604	1909	1246
605	1912	1243
606	1915	1239
607	1918	1236
608	1921	1233
609	1924	1230
610	1927	1227
611	1930	1223
612	1933	1220
613	1936	1217
614	1940	1214
615	1943	1211
616	1946	1208
617	1949	1204
618	1952	1201
619	1955	1198
620	1958	1195
621	1962	1192
622	1965	1189
623	1968	1186
624	1971	1182
625	1974	1179
626	1977	1176
627	1980	1173
628	1983	1170
629	1986	1166
630	1990	1163
631	1993	1160
632	1996	1157
633	1999	1154
634	2002	1151
635	2006	1148
636	2010	1145
637	2013	1142
638	2017	1139
639	2020	1136
640	2023	1133
641	2026	1130
642	2029	1126
643	2032	1123
644	2035	1120
645	2038	1117
646	2041	1113
647	2044	1110
648	2047	1107
649	2050	1104
650	2053	1100
651	2056	1097
652	2059	1094
653	2062	1091
654	2065	1088
655	2068	1084
656	2071	1081
657	2074	1078
658	2077	1075
659	2080	1071
660	2083	1068
661	2086	1065
662	2089	1062
663	2092	1058
664	2095	1055
665	2098	1052
666	2101	1049
667	2104	1045
668	2107	1042
669	2110	1039
670	2113	1036
671	2116	1032
672	2119	1029
673	2122	1026
674	2125	1023
675	2128	1019
676	2131	1016
677	2134	1013
678	2137	1010
679	2140	1007
680	2143	1003
681	2146	1000
682	2149	997
683	2152	994
684	2155	991
685	2158	988
686	2162	985
687	2165	981
688	2168	978
689	2172	975
690	2175	972
691	2178	969
692	2181	966
693	2185	963
694	2188	960
695	2192	957
696	2195	954
697	2198	951
698	2201	948
699	2205	945
700	2208	941
701	2211	938
702	2214	935
703	2218	932
704	2221	929
705	2224	926
706	2227	923
707	2231	920
708	2234	917
709	2237	914
710	2241	911
711	2244	907
712	2248	905
713	2251	902
714	2255	898
715	2258	895
716	2261	892
717	2265	889
718	2268	886
719	2271	883
720	2275	880
721	2278	877
722	2282	874
723	2285	871
724	2288	868
725	2292	865
726	2295	861
727	2298	858
728	2301	855
729	2305	852
730	2308	849
731	2311	846
732	2314	843
733	2317	839
734	2321	836
735	2324	833
736	2327	830
737	2330	827
738	2333	824
739	2337	821
740	2340	817
741	2343	814
742	2346	811
743	2349	808
744	2352	805
745	2355	802
746	2358	798
747	2362	795
748	2365	792
749	2368	789
750	2371	786
751	2374	782
752	2377	779
753	2380	776
754	2382	773
755	2385	770
756	2388	766
757	2391	763
758	2394	760
759	2397	757
760	2400	753
761	2403	750
762	2406	747
763	2409	744
764	2412	741
765	2415	737
766	2418	734
767	2421	731
768	2424	728
769	2427	725
770	2430	721
771	2433	718
772	2436	715
773	2439	712
774	2442	709
775	2445	705
776	2448	702
777	2451	699
778	2454	696
779	2457	693
780	2460	690
781	2463	686
782	2466	683
783	2469	680
784	2472	677
785	2474	673
786	2477	670
787	2480	667
788	2483	664
789	2486	660
790	2489	657
791	2492	654
792	2495	651
793	2498	648
794	2501	645
795	2504	641
796	2507	638
797	2510	635
798	2513	632
799	2516	629
800	2519	625
801	2522	622
802	2525	619
803	2528	616
804	2531	613
805	2534	610
806	2537	606
807	2540	603
808	2543	600
809	2546	597
810	2549	594
811	2552	591
812	2555	587
813	2558	584
814	2561	581
815	2564	578
816	2567	575
817	2570	571
818	2573	568
819	2576	565
820	2579	562
821	2582	559
822	2585	556
823	2588	552
824	2591	549
825	2594	546
826	2597	543
827	2600	540
828	2603	537
829	2606	533
830	2609	530
831	2612	527
832	2615	524
833	2618	521
834	2621	518
835	2624	514
836	2627	511
837	2630	508
838	2633	505
839	2636	502
840	2639	499
841	2642	495
842	2645	492
843	2648	489
844	2651	486
845	2654	483
846	2657	480
847	2660	476
848	2663	473
849	2668	470
850	2671	467
851	2674	464
852	2676	461
853	2679	458
854	2682	454
855	2685	451
856	2688	448
857	2691	445
858	2694	442
859	2697	439
860	2700	435
861	2703	432
862	2706	429
863	2709	426
864	2712	423
865	2715	420
