CONTRACT_KEY,EMP_CODE,CONTRACT_START_DATE,CONTRACT_END_DATE,PAID_HOURS,QUALIFDESCRIPTION
3374_20150401_20160301,3374,2015-07-01,2016-03-01,100.0,employé
3375_20150701_20160301,3375,2015-07-01,2016-03-01,100.0,employé
3376_20150701_20160301,3376,2015-07-01,2016-03-01,100.0,employé
3377_20150401_20150630,3377,2015-04-01,2015-06-30,100.0,employé
3377_20150401_20160301,3377,2015-07-01,2016-03-01,100.0,employé
3378_20150401_20150505,3378,2015-04-01,2015-05-05,100.0,employé
3379_20150401_20150505,3379,2015-04-01,2015-05-05,100.0,employé
3380_20150401_20161229,3380,2015-04-01,2016-12-29,100.0,employé
3381_20150401_20150630,3381,2015-04-01,2015-06-30,100.0,employé
3381_20150401_20160301,3381,2015-07-01,2016-03-01,100.0,employé
3382_20150401_20150630,3382,2015-04-01,2015-06-30,100.0,employé
3382_20150401_20160301,3382,2015-07-01,2016-03-01,100.0,employé
3383_20150701_20160301,3383,2015-07-01,2016-03-01,100.0,employé
3384_20150701_20160301,3384,2015-07-01,2016-03-01,100.0,employé
3385_20150701_20150815,3385,2015-07-01,2015-08-15,100.0,employé
3385_20150701_20160301,3385,2015-08-16,2016-03-01,100.0,employé
3386_20150701_20150720,3386,2015-07-01,2015-07-20,100.0,ouvrier mensuel
3386_20150701_20160301,3386,2015-07-21,2016-03-01,100.0,ouvrier mensuel
3387_20150701_20160301,3387,2015-07-01,2016-03-01,100.0,employé
3388_20150701_20160301,3388,2015-07-01,2016-03-01,100.0,employé
3389_20150701_20160301,3389,2015-07-01,2016-03-01,100.0,employé
3390_20150701_20160301,3390,2015-07-01,2016-03-01,100.0,employé
3391_20120401_20160301,3391,2012-04-01,2016-03-01,100.0,prépensionné
3392_20120401_20150714,3392,2012-04-01,2015-07-14,100.0,employé
3392_20120401_20160301,3392,2015-07-15,2016-03-01,100.0,prépensionné
3305_20140401_20160301,3305,2014-04-01,2016-03-01,100.0,employé
3306_20140401_20160301,3306,2014-04-01,2016-03-01,100.0,employé
3307_20140401_20150730,3307,2014-04-01,2015-07-30,100.0,employé
3308_20140401_20160301,3308,2014-04-01,2016-03-01,100.0,employé
3309_20140401_20160301,3309,2014-04-01,2016-03-01,100.0,employé
3342_20150802_20150714,3342,2012-04-01,2015-07-14,100.0,employé
3342_20120401_20150714,3342,2012-04-01,2015-07-14,100.0,employé
3342_20150802_20150730,3342,2015-07-15,2015-07-30,50.0,employé
3342_20120401_20150730,3342,2015-07-15,2015-07-30,50.0,employé
3344_20120401_29991231,3344,2012-04-01,,100.0,employé
3346_20120401_20150630,3346,2012-04-01,2015-06-30,50.0,employé
3346_20120401_20160301,3346,2015-07-01,2016-03-01,100.0,employé
3347_20130401_20150701,3347,2013-04-01,2015-07-01,50.0,employé
3347_20130401_20160301,3347,2015-07-02,2016-03-01,100.0,employé
3348_20130401_20160301,3348,2013-04-01,2016-03-01,50.0,employé
3349_20120401_20160301,3349,2012-04-01,2016-03-01,100.0,employé
3350_20120401_20160301,3350,2012-04-01,2016-03-01,100.0,employé
3351_20141001_20160301,3351,2014-10-01,2016-03-01,100.0,etudiant mensuel
3352_20120401_20160301,3352,2012-04-01,2016-03-01,100.0,employé
3353_20130401_20160301,3353,2013-04-01,2016-03-01,100.0,employé
3354_20150801_20150828,3354,2015-08-01,2015-08-28,100.0,employé
3355_20141001_20160301,3355,2014-10-01,2016-03-01,100.0,etudiant mensuel
3356_20130401_20150818,3356,2013-04-01,2015-08-18,100.0,employé
3356_20130401_20150826,3356,2015-08-19,2015-08-26,80.0,employé
3356_20130401_20160301,3356,2015-08-27,2016-03-01,100.0,employé
3357_20130401_20150925,3357,2013-04-01,2015-09-25,100.0,employé
3357_20130401_20160301,3357,2015-09-26,2016-03-01,50.0,employé
521_20150102_20160214,521,2015-01-01,2016-02-14,100.0,administrateur
521_20150101_20160214,521,2015-01-01,2016-02-14,100.0,administrateur
