STATUS_KEY,EMP_CODE,STATUS_START_DATE,STATUS_END_DATE,TURNOVER
118903_20201102_29991231,118903,2020-11-02,,0.0
118923_20200323_29991231,118923,2020-03-23,,0.0
119042_20191118_29991231,119042,2019-11-18,,0.0
119043_20191118_29991231,119043,2019-11-18,,0.0
119162_20201007_29991231,119162,2020-10-07,,0.0
119222_20201001_20230802,119222,2020-10-01,2023-08-02,1.0
119328_20201001_20201015,119328,2020-10-01,2020-10-15,1.0
119362_20201003_29991231,119362,2020-10-03,,0.0
119602_20170101_29991231,119602,2017-01-01,,0.0
119622_20200201_29991231,119622,2020-02-01,,0.0
119682_20200101_20210101,119682,2020-01-01,2021-01-01,1.0
119682_20210101_20210201,119682,2021-01-01,2021-02-01,1.0
119762_20201002_29991231,119762,2020-10-02,,0.0
119782_20200101_29991231,119782,2020-01-01,,0.0
119882_20200901_29991231,119882,2020-09-01,,0.0
119982_20200901_29991231,119982,2020-09-01,,0.0
119902_20200101_29991231,119902,2020-01-01,,0.0
120402_20170102_20170201,120402,2017-01-02,2017-02-01,1.0
119962_20150101_29991231,119962,2015-01-01,,0.0
120002_20200101_29991231,120002,2020-01-01,,0.0
120022_20200101_29991231,120022,2020-01-01,,0.0
120042_20150101_29991231,120042,2015-01-01,,0.0
120622_20150101_29991231,120622,2015-01-01,,0.0
120669_20201001_29991231,120669,2020-10-01,,0.0
120687_20180701_29991231,120687,2018-07-01,,0.0
120690_20180701_29991231,120690,2018-07-01,,0.0
32043_20140101_29991231,32043,2014-01-01,,0.0
121062_20190101_29991231,121062,2019-01-01,,0.0
121224_20200101_29991231,121224,2020-01-01,,0.0
32521_20140101_29991231,32521,2014-01-01,,0.0
32541_20140101_29991231,32541,2014-01-01,,0.0
121582_20200101_29991231,121582,2020-01-01,,0.0
121602_20200101_29991231,121602,2020-01-01,,0.0
121662_20201001_29991231,121662,2020-10-01,,0.0
121682_20201001_20201129,121682,2020-10-01,2020-11-29,1.0
121682_20201129_29991231,121682,2020-11-29,,0.0
121842_20200101_29991231,121842,2020-01-01,,0.0
121942_20200101_20200411,121942,2020-01-01,2020-04-11,1.0
121942_20200411_20200420,121942,2020-04-11,2020-04-20,1.0
121942_20200420_29991231,121942,2020-04-20,,0.0
121962_20200101_20200411,121962,2020-01-01,2020-04-11,1.0
121962_20200411_20200425,121962,2020-04-11,2020-04-25,1.0
122002_20200101_20201206,122002,2020-01-01,2020-12-06,1.0
122002_20201206_29991231,122002,2020-12-06,,0.0
122022_20200101_29991231,122022,2020-01-01,,0.0
122162_20200101_29991231,122162,2020-01-01,,0.0
122182_20210101_29991231,122182,2021-01-01,,0.0
121322_20190801_20190901,121322,2019-08-01,2019-09-01,1.0
122302_20210101_29991231,122302,2021-01-01,,0.0
122242_20201001_29991231,122242,2020-10-01,,0.0
122222_20210101_29991231,122222,2021-01-01,,0.0
122462_20200101_29991231,122462,2020-01-01,,0.0
122062_20210101_29991231,122062,2021-01-01,,0.0
122502_20191123_29991231,122502,2019-11-23,,0.0
122522_20191126_29991231,122522,2019-11-26,,0.0
83641_20200119_29991231,83641,2020-01-19,,0.0
122542_20170101_29991231,122542,2017-01-01,,0.0
122562_20200101_29991231,122562,2020-01-01,,0.0
122644_20200101_29991231,122644,2020-01-01,,0.0
122665_20200101_29991231,122665,2020-01-01,,0.0
122667_20200101_29991231,122667,2020-01-01,,0.0
122668_20200101_29991231,122668,2020-01-01,,0.0
122762_20200101_29991231,122762,2020-01-01,,0.0
122822_20200501_29991231,122822,2020-05-01,,0.0
122842_20200201_29991231,122842,2020-02-01,,0.0
122862_20210126_29991231,122862,2021-01-26,,0.0
122862_20210101_20210126,122862,2021-01-01,2021-01-26,1.0
122962_20200101_29991231,122962,2020-01-01,,0.0
122982_20190101_20200101,122982,2019-01-01,2020-01-01,1.0
123062_20200101_29991231,123062,2020-01-01,,0.0
121322_20191201_20200101,121322,2019-12-01,2020-01-01,1.0
123202_20210101_29991231,123202,2021-01-01,,0.0
123222_20200101_29991231,123222,2020-01-01,,0.0
123402_20210101_20210302,123402,2021-01-01,2021-03-02,1.0
123522_20200101_29991231,123522,2020-01-01,,0.0
123562_20190101_20210201,123562,2019-01-01,2021-02-01,1.0
123582_20190101_20210201,123582,2019-01-01,2021-02-01,1.0
123582_20210201_29991231,123582,2021-02-01,,0.0
124402_20210201_29991231,124402,2021-02-01,,0.0
123682_20210101_20210116,123682,2021-01-01,2021-01-16,1.0
123902_20190101_20210222,123902,2019-01-01,2021-02-22,1.0
123882_20190101_20210201,123882,2019-01-01,2021-02-01,1.0
124002_20190101_20210222,124002,2019-01-01,2021-02-22,1.0
124222_20210101_29991231,124222,2021-01-01,,0.0
124243_20210303_29991231,124243,2021-03-03,,0.0
124382_20190101_29991231,124382,2019-01-01,,0.0
118282_20201001_29991231,118282,2020-10-01,,0.0
118322_20190316_20210203,118322,2019-03-16,2021-02-03,1.0
