ASSIGNMENT_KEY,EMP_CODE,ASSIGNMENT_START_DATE,ASSIGNMENT_END_DATE,ASSIGNMENT_ORGUNIT_CODE,ASSIGNMENT_OFFICE_CODE,ASSIGNMENT_JOB_CODE,ASSIGNMENT_JOB_LIB
863_20140101_29991231,863,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
877_20140101_29991231,877,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
878_20140101_29991231,878,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
879_20140101_29991231,879,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
120671_20201111_29991231,120671,2020-11-11,2999-12-31 00:00:00,BEE001    ,BEE052    ,BEE05     ,Reponsable                                                  
120672_20180701_20201110,120672,2018-07-01,2020-11-10 00:00:00,BEE001    ,BEE052    ,BEE05     ,Reponsable                                                  
120672_20201111_29991231,120672,2020-11-11,2999-12-31 00:00:00,BEE001    ,BEE052    ,BEE05     ,Reponsable                                                  
120673_20200701_29991231,120673,2020-07-01,2999-12-31 00:00:00,BEE001    ,BEE052    ,BEE05     ,Reponsable                                                  
120674_20201001_29991231,120674,2020-10-01,2999-12-31 00:00:00,BEE001    ,BEE023    ,BEE02     ,Directeur                                                   
120675_20170701_29991231,120675,2017-07-01,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
120676_20201001_29991231,120676,2020-10-01,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
120676_20170701_20200930,120676,2017-07-01,2020-09-30 00:00:00,BEE001    ,BEE022    ,BEE02     ,Directeur                                                   
120677_20170701_20200930,120677,2017-07-01,2020-09-30 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
120677_20210201_29991231,120677,2021-02-01,2999-12-31 00:00:00,BEE001    ,BEE021    ,BEE01     ,Directeur Général                                           
120677_20201001_20210130,120677,2020-10-01,2021-01-30 00:00:00,BEE001    ,BEE051    ,BEE05     ,Reponsable                                                  
120678_20180701_29991231,120678,2018-07-01,2999-12-31 00:00:00,BEE001    ,BEE052    ,BEE05     ,Reponsable                                                  
8921_20150609_20150920,8921,2015-06-09,2015-09-20 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
8961_20140101_20200420,8961,2014-01-01,2020-04-20 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9041_20140101_29991231,9041,2014-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9001_20150101_29991231,9001,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9021_20150101_29991231,9021,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9061_20150101_29991231,9061,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9361_20150101_29991231,9361,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
677_20121001_29991231,677,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
678_20121001_29991231,678,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
679_20140101_29991231,679,2014-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
680_20130101_29991231,680,2013-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
681_20130101_29991231,681,2013-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
682_20140101_29991231,682,2014-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
683_20121001_29991231,683,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
684_20121001_29991231,684,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
685_20121001_29991231,685,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
686_20140101_20140731,686,2014-01-01,2014-07-31 00:00:00,FRS115    ,FRS011    ,FRS01     ,Analyste                                                    
880_20140101_29991231,880,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
881_20140101_29991231,881,2014-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
882_20140101_20150202,882,2014-01-01,2015-02-02 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
882_20150403_29991231,882,2015-04-03,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
883_20121124_29991231,883,2012-11-24,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
884_20121124_29991231,884,2012-11-24,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
885_20140201_20141212,885,2014-02-01,2014-12-12 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
885_20150201_29991231,885,2015-02-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
886_20150101_29991231,886,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
119542_20200301_29991231,119542,2020-03-01,2999-12-31 00:00:00,FRG001    ,FRO0000009,0003      ,EMPLOI APRRENTI NIV 3 E1                                    
120679_20201015_29991231,120679,2020-10-15,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
120679_20180701_20201014,120679,2018-07-01,2020-10-14 00:00:00,BEE001    ,BEE054    ,BEE05     ,Reponsable                                                  
120680_20180701_29991231,120680,2018-07-01,2999-12-31 00:00:00,BEE001    ,BEE023    ,BEE02     ,Directeur                                                   
120681_20180701_29991231,120681,2018-07-01,2999-12-31 00:00:00,BEE001    ,BEE051    ,BEE05     ,Reponsable                                                  
120682_20180701_29991231,120682,2018-07-01,2999-12-31 00:00:00,BEE001    ,BEE023    ,BEE02     ,Directeur                                                   
120683_20201208_29991231,120683,2020-12-08,2999-12-31 00:00:00,BEE001    ,BEE01     ,BEE01     ,Directeur Général                                           
120683_20170701_20201207,120683,2017-07-01,2020-12-07 00:00:00,BEE001    ,BEE023    ,BEE02     ,Directeur                                                   
120684_20170701_29991231,120684,2017-07-01,2999-12-31 00:00:00,BEE001    ,BEE052    ,BEE05     ,Reponsable                                                  
120685_20180701_29991231,120685,2018-07-01,2999-12-31 00:00:00,BEE001    ,BEE022    ,BEE02     ,Directeur                                                   
120686_20170701_29991231,120686,2017-07-01,2999-12-31 00:00:00,BEE001    ,BEE051    ,BEE05     ,Reponsable                                                  
120687_20180701_29991231,120687,2018-07-01,2999-12-31 00:00:00,BEE001    ,BEE021    ,BEE01     ,Directeur Général                                           
9441_20150101_20150331,9441,2015-01-01,2015-03-31 00:00:00,BEG001    ,BEG01     ,BEG01     ,Directeur Général                                           
6641_20160228_29991231,6641,2016-02-28,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9581_20150101_29991231,9581,2015-01-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
9622_20150101_29991231,9622,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9661_20150101_29991231,9661,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
4781_20150701_29991231,4781,2015-07-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9681_20150101_20190101,9681,2015-01-01,2019-01-01 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
9841_20150101_29991231,9841,2015-01-01,2999-12-31 00:00:00,INT001    ,          ,INT01     ,Analyste                                                    
36781_20150401_29991231,36781,2015-04-01,2999-12-31 00:00:00,INT001    ,FRPNJ9    ,FRP01     ,Analyste                                                    
687_20121001_29991231,687,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
688_20121001_29991231,688,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
689_20121001_29991231,689,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
690_20140101_20140731,690,2014-01-01,2014-07-31 00:00:00,FRS115    ,FRS011    ,FRS01     ,Analyste                                                    
692_20121001_29991231,692,2012-10-01,2999-12-31 00:00:00,INT200    ,          ,FRP01     ,Analyste                                                    
