CONTRACT_KEY,EMP_CODE,CONTRACT_CODE,CONTRACT_START_DATE,CONTRACT_END_DATE,PAID_HOURS,CONTRACT_QUALIF_CODE,CONTRACT_TYPE_CODE,DATE_DEBUT_CONTRAT,NUDOSS,QUALIFDESCRIPTION
3374_20150401_20160301,3374,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3374,Employé                                      
3375_20150701_20160301,3375,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3375,Employé                                      
3376_20150701_20160301,3376,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3376,Employé                                      
3377_20150401_20150630,3377,C01,2015-04-01,2015-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3377,Employé                                      
3377_20150401_20160301,3377,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3377,Employé                                      
3378_20150401_20150505,3378,C01,2015-04-01,2015-05-05 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3378,Employé                                      
3379_20150401_20150505,3379,C01,2015-04-01,2015-05-05 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3379,Employé                                      
3380_20150401_20161229,3380,C01,2015-04-01,2016-12-29 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3380,Employé                                      
3381_20150401_20150630,3381,C01,2015-04-01,2015-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3381,Employé                                      
3381_20150401_20160301,3381,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3381,Employé                                      
3382_20150401_20150630,3382,C01,2015-04-01,2015-06-30 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3382,Employé                                      
3382_20150401_20160301,3382,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-04-01,3382,Employé                                      
3383_20150701_20160301,3383,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3383,Employé                                      
3384_20150701_20160301,3384,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3384,Employé                                      
3385_20150701_20150815,3385,C01,2015-07-01,2015-08-15 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3385,Employé                                      
3385_20150701_20160301,3385,C01,2015-08-16,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3385,Employé                                      
3386_20150701_20150720,3386,C01,2015-07-01,2015-07-20 00:00:00,100.0,OUM     ,OI      ,2015-07-01,3386,Ouvrier mensuel                              
3386_20150701_20160301,3386,C01,2015-07-21,2016-03-01 00:00:00,100.0,OUM     ,OI      ,2015-07-01,3386,Ouvrier mensuel                              
3387_20150701_20160301,3387,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3387,Employé                                      
3388_20150701_20160301,3388,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3388,Employé                                      
3389_20150701_20160301,3389,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3389,Employé                                      
3390_20150701_20160301,3390,C01,2015-07-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2015-07-01,3390,Employé                                      
3391_20120401_20160301,3391,C01,2012-04-01,2016-03-01 00:00:00,100.0,PRE     ,IE      ,2012-04-01,3391,Prépensionné                                 
3392_20120401_20150714,3392,C01,2012-04-01,2015-07-14 00:00:00,100.0,EMP     ,IE      ,2012-04-01,3392,Employé                                      
3392_20120401_20160301,3392,C01,2015-07-15,2016-03-01 00:00:00,100.0,PRE     ,IE      ,2012-04-01,3392,Prépensionné                                 
3305_20140401_20160301,3305,C01,2014-04-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2014-04-01,3305,Employé                                      
3306_20140401_20160301,3306,C01,2014-04-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2014-04-01,3306,Employé                                      
3307_20140401_20150730,3307,C01,2014-04-01,2015-07-30 00:00:00,100.0,EMP     ,IE      ,2014-04-01,3307,Employé                                      
3308_20140401_20160301,3308,C01,2014-04-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2014-04-01,3308,Employé                                      
3309_20140401_20160301,3309,C01,2014-04-01,2016-03-01 00:00:00,100.0,EMP     ,IE      ,2014-04-01,3309,Employé                                      
3342_20150802_20150714,3342,C01,2012-04-01,2015-07-14 00:00:00,100.0,EMP     ,IE      ,2015-08-02,3342,Employé                                      
3342_20120401_20150714,3342,C01,2012-04-01,2015-07-14 00:00:00,100.0,EMP     ,IE      ,2012-04-01,3342,Employé                                      
3342_20150802_20150730,3342,C01,2015-07-15,2015-07-30 00:00:00,50.0,EMP     ,IE      ,2015-08-02,3342,Employé                                      
3342_20120401_20150730,3342,C01,2015-07-15,2015-07-30 00:00:00,50.0,EMP     ,IE      ,2012-04-01,3342,Employé                                      
