ENTRY_EXIT_KEY,EMP_CODE,ENTRY_DATE,EXIT_DATE,ENTRY_PATTERN_CODE,EXIT_PATTERN_CODE,REASON_EXIT_CODE,LIB_ENTRY_PATTERN,LIB_EXIT_PATTERN,LIB_REASON_EXIT
118482_20200101_20220321,118482,2020-01-01,2022-03-21,001,003,TRANSF,Nouvelle entrée                              ,Mutation                                     ,Transféré - Valeur technique                 
31261_20160101_20161201,31261,2016-01-01,2016-12-01,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
38843_20160101_20220523,38843,2016-01-01,2022-05-23,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
61081_20180927_20181008,61081,2018-09-27,2018-10-08,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
61382_20181008_20181008,61382,2018-10-08,2018-10-08,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
61423_20181008_20181008,61423,2018-10-08,2018-10-08,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
61441_20181008_20181008,61441,2018-10-08,2018-10-08,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
66281_20100101_20150101,66281,2010-01-01,2015-01-01,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
123562_20190101_20210131,123562,2019-01-01,2021-01-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
123582_20190101_20210131,123582,2019-01-01,2021-01-31,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
123782_20210101_20210228,123782,2021-01-01,2021-02-28,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
123862_20190101_20210131,123862,2019-01-01,2021-01-31,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
123902_20190101_20210221,123902,2019-01-01,2021-02-21,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
123962_20200101_20200229,123962,2020-01-01,2020-02-29,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
124042_20190101_20210131,124042,2019-01-01,2021-01-31,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
124062_20190101_20210131,124062,2019-01-01,2021-01-31,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
16241_20140101_20160201,16241,2014-01-01,2016-02-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
16261_20140101_20160201,16261,2014-01-01,2016-02-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
16301_20150201_20150215,16301,2015-02-01,2015-02-15,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
16361_20140101_20160201,16361,2014-01-01,2016-02-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
16401_20150201_20200201,16401,2015-02-01,2020-02-01,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
16423_20150215_20160101,16423,2015-02-15,2016-01-01,001,004,VOLUNT,Nouvelle entrée                              ,Sortie                                       ,Interruption volontaire                      
8921_20150609_20150920,8921,2015-06-09,2015-09-20,002,004,VOLUNT,Réembauche                                   ,Sortie                                       ,Interruption volontaire                      
8961_20140101_20200420,8961,2014-01-01,2020-04-20,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
9261_20150102_20170101,9261,2015-01-02,2017-01-01,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
9441_20150101_20150331,9441,2015-01-01,2015-03-31,001,004,ENDCTR,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
9681_20150101_20190101,9681,2015-01-01,2019-01-01,001,004,FINCON,Nouvelle entrée                              ,Sortie                                       ,Fin de contrat                               
9682_20150101_20160801,9682,2015-01-01,2016-08-01,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
10241_20140101_20160422,10241,2014-01-01,2016-04-22,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
21701_20160201_20161230,21701,2016-02-01,2016-12-30,001,004,DEMISS,Nouvelle entrée                              ,Sortie                                       ,Démission                                    
